2019-04-30 09:09:13,709 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:run_with_reloader:578] [INFO]- Watching for file changes with StatReloader
2019-04-30 09:09:13,724 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:run:267] [DEBUG]- Waiting for apps ready_event.
2019-04-30 09:09:14,009 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:run:273] [DEBUG]- Apps ready_event triggered. Sending autoreload_started signal.
2019-04-30 09:09:14,009 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:watch_dir:226] [DEBUG]- Watching dir C:\Users\yjzhao\Desktop\backend-7-4\locale with glob **/*.mo.
2019-04-30 09:09:14,009 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:watch_dir:226] [DEBUG]- Watching dir C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
2019-04-30 09:09:14,009 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:watch_dir:226] [DEBUG]- Watching dir C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
2019-04-30 09:09:14,025 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:watch_dir:226] [DEBUG]- Watching dir C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
2019-04-30 09:09:14,025 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:watch_dir:226] [DEBUG]- Watching dir C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
2019-04-30 09:09:14,025 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:watch_dir:226] [DEBUG]- Watching dir C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
2019-04-30 09:09:14,025 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:watch_dir:226] [DEBUG]- Watching dir C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
2019-04-30 09:09:14,031 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:watch_dir:226] [DEBUG]- Watching dir C:\Users\yjzhao\Desktop\backend-7-4\apis\locale with glob **/*.mo.
2019-04-30 09:09:14,031 [MainThread:14096] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\utils\autoreload.py:watch_dir:226] [DEBUG]- Watching dir C:\Users\yjzhao\Desktop\backend-7-4\authorization\locale with glob **/*.mo.
2019-04-30 09:10:54,320 [MainThread:3460] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-04-30 09:10:54,321 [MainThread:3460] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2019-04-30 09:10:54,322 [MainThread:3460] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2019-04-30 09:11:13,090 [MainThread:15608] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2019-04-30 09:11:13,090 [MainThread:15608] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2019-04-30 09:11:13,091 [MainThread:15608] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.000) SELECT @@sql_mode; args=None
2019-04-30 09:11:13,389 [MainThread:15608] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2019-04-30 09:11:13,391 [MainThread:15608] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2019-04-30 09:11:13,393 [MainThread:15608] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.000) SHOW FULL TABLES; args=None
2019-04-30 09:11:13,394 [MainThread:15608] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\base\schema.py:execute:128] [DEBUG]- CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); (params None)
2019-04-30 09:11:13,409 [MainThread:15608] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.015) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); args=None
2019-04-30 09:11:13,413 [MainThread:15608] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.003) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
2019-04-30 09:11:13,415 [MainThread:15608] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
2019-04-30 09:11:13,417 [MainThread:15608] [C:\Users\yjzhao\AppData\Local\Continuum\anaconda3\lib\site-packages\django\db\backends\utils.py:execute:110] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
